Type,Policy Document ID,Title,Translated title,Source title,Source country,Source type,Source sub-type,Published on,Cited research titles,Cited research DOIs,Topics,Document URL,Text
Policy citation,americanenterpriseinstitute-d4813ebc35d8c404dad0cb363b10354c,Can America Build Nuclear Again? Part 3,,American Enterprise Institute,USA,think tank,,6/19/26,China reins in the spiralling construction costs of nuclear power — what can other countries learn?,10.1038/d41586-025-02341-z,Nuclear power  ，United States Congress  ，Nuclear Regulatory Commission  ，National Environmental Policy Act  ，Policy  ，United States Congressional Joint Committee on Atomic Energy  ，Environmental impact statement  ，Nuclear energy policy  ，Atomic Energy Act of 1946  ，Joint committee (legislative)  ，9/11 Commission  ，Energy  ，9/11 Commission Report  ，Congressional Research Service  ，Calvert Cliffs Nuclear Power Plant  ，Energy policy  ，Nuclear energy,https://www.aei.org/articles/can-america-build-nuclear-again-part-3/,
Policy citation,americanenterpriseinstitute-f7b46ef9da188d05e3e5f567b6b4bc11,Can America Build Nuclear Again? Part 1,,American Enterprise Institute,USA,think tank,,6/15/26,China reins in the spiralling construction costs of nuclear power — what can other countries learn?,10.1038/d41586-025-02341-z,Cost  ，United States  ，Construction  ，Nuclear power  ，Nuclear reactor  ，China  ，South Korea  ，Plant  ，Japan  ，Nuclear power plant  ，Three Mile Island accident  ，Policy  ，Economics of nuclear power plants  ，Electricity generation  ，Three Mile Island Nuclear Generating Station  ，Energy  ，Power (physics)  ，Nuclear energy  ，Nuclear technology  ，Electric power  ，Energy technology  ，France  ，Nuclear physics  ，Power station  ，Radioactivity  ，Kilowatt-hour  ，Energy conversion,https://www.aei.org/articles/can-america-build-nuclear-again-part-1/,
Policy citation,scottishgovernment-783812f37076b639b27d944054e06f1d,Meeting Scotland's workforce needs for a transition to Net Zero – the role of migration and the impact of demographic challenges.,,The Scottish Government,UK,government,,1/27/26,Fewer than 15% of coal power plant workers in China can easily shift to green jobs by 2060,10.1016/j.oneear.2024.10.006,Immigration  ，Human migration  ，Green job  ，Migrant worker  ，Labour economics  ，Renewable energy  ，Energy transition  ，Employment  ，Construction  ，United Kingdom  ，Sustainable energy  ，Scotland  ，Workforce  ，Vocational education  ，Net-zero emissions  ，Salary  ，Small and medium enterprises  ，Low-carbon economy  ，Education  ，Recruitment  ，Retraining  ，Just transition  ，Infrastructure  ，Climate change mitigation  ，Policy  ，Modern immigration to the United Kingdom  ，Population decline  ，Climate change  ，Scottish Government  ，Fossil fuel  ，Energy development  ，Skilled worker  ，Transport  ，Demography  ，Foreign worker  ，Shortage  ，Economy  ，Green economy  ，Child care  ，Apprenticeship  ，Climate target  ，Travel visa  ，Carbon capture and storage  ，Workforce development  ，Offshore wind power  ，Greenhouse gas emissions  ，Subsidy  ，Aberdeen  ，Internship  ，Occupational safety and health  ，Zero-energy building  ，Public transport  ，Gas  ，Border control  ，Energy industry  ，City  ，Sustainability  ，Energy policy of the European Union  ，Office for National Statistics  ，Wage  ，Skill,https://www.gov.scot/publications/meeting-scotlands-workforce-needs-transition-net-zero-role-migration-impact-demographic-challenges/,
Policy citation,diwde-29ff583f3ad089795e46e27deaccb729,Non-Price Criteria in Renewable Energy Auctions and Consequences for the European Solar PV Industry : Non-Price Criteria in Renewable Energy Auctions and Consequences for the European Solar PV Industry,,Deutsches Institut für Wirtschaftsforschung (DIW),Germany,think tank,,1/27/26,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Photovoltaics  ，Renewable energy  ，Economic equilibrium  ，Market (economics)  ，Competition  ，Solar power  ，Sustainability  ，Policy  ，Climate change mitigation  ，Solar power in the European Union  ，Solar panel  ，Economies of scale  ，Government procurement  ，Photovoltaic system  ，Auction  ，Innovation  ，Net-zero emissions  ，Recycling  ，Demand  ，Economy  ，Supply chain  ，Incentive  ，Ecological resilience  ，Procurement  ，Offshoring  ，Simulation  ，European Union  ，Price  ，Manufacturing  ，Bidding  ，International Energy Agency  ，Energy system  ，Market segmentation  ，German Institute for Economic Research,https://www.diw.de/de/diw_01.c.997094.de/publikationen/diskussionspapiere/2026_2153/non-price_criteria_in_renewable_energy_auctions_and_consequences_for_the_european_solar_pv_industry.html,
Policy citation,wrrnl-043e5e9a9ab5c250969a49928ca0d2bc,Met de mondiale demografie mee. Anticiperen op krimpend arbeidsaanbod in het buitenland,Following global demographics. Anticipating a shrinking labor supply abroad.,Wetenschappelijke Raad voor het Regeringsbeleid,Netherlands,government,,1/20/26,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Population ageing  ，Demographic transition  ，Population growth  ，Netherlands  ，China  ，One-child policy  ，Population decline  ，Life expectancy  ，World population  ，Japan  ，European Union  ，India  ，Child mortality  ，Total fertility rate  ，Balance of trade  ，Scientific Council for Government Policy  ，United States  ，Capital (economics)  ，Economics  ，Poland  ，Trade  ，Pension  ，Romania  ，Philippines  ，Consumption (economics)  ，Economic growth  ，Education  ，Economy  ，United Nations  ，Sustainable development  ，Bulgaria  ，Brazil  ，Labour economics  ，Bangladesh  ，Europe  ，Share (finance)  ，Unemployment  ，Industrial Revolution  ，South Korea  ，Famine  ，Indonesia  ，Gastarbeiter  ，Population pressure  ，Iran  ，Germany  ，Catholic Church  ，Marriage  ，Demography  ，Earth  ，Africa,https://www.wrr.nl/documenten/2025/11/26/met-de-mondiale-demografie-mee.-anticiperen-op-krimpend-arbeidsaanbod-in-het-buitenland,
Policy citation,cgdev-8c8f874e1eebe49a787a56de62d2dd4f,A Forest Per Worker: Quantifying the CO2 Reduction Contribution of the Marginal “Green” (Migrant) Worker,,Center for Global Development,USA,think tank,,12/15/25,Deploying solar photovoltaic energy first in carbon-intensive regions brings gigatons more carbon mitigations to 2060,10.1038/s43247-023-01006-x,Photovoltaics  ，Solar power  ，Climate change mitigation  ，Lithium iron phosphate battery  ，Renewable energy  ，Photovoltaic system  ，Heat pump  ，Nominal power (photovoltaic)  ，Greenhouse gas emissions  ，Net metering  ，Emission intensity  ，Off-the-grid  ，International Energy Agency  ，Social cost of carbon  ，Heat of combustion  ，Solar panel  ，Sustainable energy  ，National Renewable Energy Laboratory  ，Climate change  ，Electricity generation  ，Rooftop solar power  ，Rebound effect (conservation)  ，Zero-energy building  ，Fossil fuel  ，Sustainable technologies  ，Energy  ，Energy technology  ，Kilowatt-hour  ，Electric battery  ，Net-zero emissions  ，Solar cell  ，Embedded emissions  ，Energy development  ，Electrical grid  ，Electric power  ，Energy and the environment  ，Condensing boiler  ，Bioenergy  ，Lithium-ion battery  ，Intergovernmental Panel on Climate Change  ，Power (physics)  ，Variable renewable energy  ，Nuclear power  ，Monocrystalline silicon  ，Battery energy storage system  ，Bifacial solar cells  ，Migrant worker  ，Human migration  ，Labour economics  ，Vocational education  ，Economy  ，Center for Global Development  ，Immigration  ，Energy transition  ，Green job  ，International Renewable Energy Agency  ，Underemployment,https://www.cgdev.org/publication/forest-worker-quantifying-co2-reduction-contribution-marginal-green-migrant-worker,
Policy citation,wto-c8016afbf65e1a9a97d53ebeb84163f4,Global Value Chain Development Report 2025  Rewiring GVCs in a Changing Global Economy,,World Trade Organization,IGO,igo,,12/14/25,Challenges and opportunities for carbon neutrality in China,10.1038/s43017-021-00244-x,Climate change mitigation  ，Global value chain  ，EU Carbon Border Adjustment Mechanism  ，Inflation  ，Electric vehicle  ，Greenhouse gas emissions  ，Subsidy  ，Carbon price  ，Climate resilience  ，Industrial policy  ，Governance  ，Globalization  ，Policy  ，Infrastructure  ，Economy  ，Deglobalization  ，Sustainability  ，Supply chain  ，Productivity  ，World Trade Organization  ，Economic growth  ，Sustainable finance  ，Business  ，Trade  ，Export  ，Finance  ，Gross domestic product  ，Foreign direct investment  ，Economic inequality  ，Life-cycle assessment  ，Carbon emission trading  ，Sustainable energy  ，Spillover (economics)  ，Value (economics)  ，Market (economics)  ，Innovation  ，Monetary policy  ，Environmental policy  ，Value chain  ，Small and medium enterprises  ，Resilience (engineering and construction)  ，Recession  ，Tirumala Tirupati Devasthanams  ，Emissions trading  ，Greenhouse gas inventory  ，Emission intensity  ，Agriculture  ，Externality  ，European Union Emissions Trading System  ，Politics of climate change  ，Carbon leakage  ，Tax  ，Developing country  ，Natural environment  ，Climate change  ，Carbon tax  ，Comparative advantage  ，Pollution  ，Sustainable Development Goals  ，Efficient energy use  ，Air pollution  ，Climate change policy of the United States  ，Embedded emissions  ，Environmental social science  ，Computable general equilibrium  ，Intergovernmental Panel on Climate Change  ，Competition (economics)  ，Carbon offsets and credits  ，Economic efficiency  ，Implicit carbon prices  ，International trade  ，Environmental economics,https://www.wto.org/english/res_e/publications_e/gvcreport2025_e.htm,
Policy citation,wrrnl-8c000e213bd13ade57d526d7b5b8b2ba,Met de mondiale demografie mee. Anticiperen op krimpend arbeidsaanbod in het buitenland,Keeping pace with global demographics. Anticipating a shrinking labor supply abroad,Wetenschappelijke Raad voor het Regeringsbeleid,Netherlands,government,,11/24/25,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Population ageing  ，Demographic transition  ，Population growth  ，Netherlands  ，China  ，One-child policy  ，Population decline  ，Life expectancy  ，World population  ，Japan  ，European Union  ，India  ，Child mortality  ，Total fertility rate  ，Balance of trade  ，Scientific Council for Government Policy  ，United States  ，Capital (economics)  ，Economics  ，Poland  ，Trade  ，Pension  ，Romania  ，Philippines  ，Consumption (economics)  ，Economic growth  ，Education  ，Economy  ，United Nations  ，Sustainable development  ，Bulgaria  ，Brazil  ，Labour economics  ，Bangladesh  ，Europe  ，Share (finance)  ，Unemployment  ，Industrial Revolution  ，South Korea  ，Famine  ，Indonesia  ，Gastarbeiter  ，Population pressure  ，Iran  ，Germany  ，Catholic Church  ，Marriage  ，Demography  ，Earth  ，Africa,https://www.wrr.nl/publicaties/rapporten/2025/11/26/met-de-mondiale-demografie-mee.-anticiperen-op-krimpend-arbeidsaanbod-in-het-buitenland,
Policy citation,belfercenter-303ea3c1c7e54f32012ccb214d083206,Sustaining the Global Energy Transition,,Belfer Center,USA,think tank,,9/16/25,Quantifying the cost savings of global solar photovoltaic supply chains,10.1038/s41586-022-05316-6,Climate change mitigation  ，International Energy Agency  ，Greenhouse gas emissions  ，EU Carbon Border Adjustment Mechanism  ，Sustainable energy  ，Carbon capture and storage  ，Renewable energy  ，World energy supply and consumption  ，Energy transition  ，Electric vehicle  ，Tariffs in the second Trump administration  ，Coal  ，European Union Emissions Trading System  ，Nationally determined contribution  ，Steelmaking  ，Politics of climate change  ，Net-zero emissions  ，Electricity generation  ，Climate change  ，Energy development  ，Economy  ，Energy  ，Solar power  ，Clean technology  ，Natural gas  ，Electrification  ，Electrical grid  ，Power purchase agreement  ，Distributed generation  ，Variable renewable energy  ，Transport  ，Tariff  ，European Central Bank  ，Paris Agreement  ，Inflation  ，Electric arc furnace,https://www.belfercenter.org/research-analysis/sustaining-global-energy-transition,
Policy citation,ceteuk-b8fb9cb847c1b46c43de1901477e0a22,Seven lessons for India’s climate finance taxonomy,,Centre for Economic Transition Expertise (CETEX),UK,think tank,,9/12/25,Fewer than 15% of coal power plant workers in China can easily shift to green jobs by 2060,10.1016/j.oneear.2024.10.006,Climate change adaptation  ，Climate resilience  ，Nature-based solutions  ，Climate change mitigation  ，Sustainable finance  ，Mining  ，Climate finance  ，Net-zero emissions  ，Critical raw materials  ，Agriculture  ，International Energy Agency  ，Natural environment  ，Disaster  ，Sustainability  ，Economy  ，Climate change  ，Just transition  ，Rare-earth element  ，Climate risk  ，EU taxonomy for sustainable activities  ，ASEAN,https://cetex.org/publications/seven-lessons-for-indias-climate-finance-taxonomy/,
